port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,latitude,longitude,county,fips
"Aberdeen-Hoquiam, WA",,,,,774724,,,,,855835,495880116,61668446,18466,13455,307481,,46.9678284,-123.8459739,Grays Harbor,53027
"Aguadilla, PR",,,737641,36104,115758,,196206,,,,,,,,21940,35417,18.4953957,-67.1355779,Aguadilla,72005
"Alameda, CA",,,,,66780,,,,4243,,42886,,,,,,37.7956123,-122.2791662,Alameda,6001
"Albany, NY",,,473,,,,1396324,,,28916517,,,,,117060,,42.6263032,-73.7580336,Albany,36001
"Albuquerque, NM",,,11155,,,,,,,,,,,,,,35.0817626,-106.7345152,Bernalillo,35001
"Alcan, AK",165738,,400476,38691,,,39411,,,46990,,,13045240,,66305,,62.6584334,-141.131215,Southeast Fairbanks,2240
"Alexandria Bay, NY",91880958,1936978,29194415,4272175,9277996,75668533,175473391,20823321,16473975,462122,143918539,17282739,41259514,58472957,165302935,56560625,44.2970513,-75.975928,Jefferson,36045
"Algonac, MI",,,,,,,,,,,35629,,100205,,,,42.6130715,-82.5458297,St. Clair,26147
"Allentown, PA",,,,,,,,,,,,95314,,,41683,,40.6139036,-75.4537958,Lehigh,42077
"Alpena, MI",,,,,,,,,,,,61284,,,,,45.05948,-83.4302844,Alpena,26007
"Amarillo, TX",,,,,,,,,2605,,,,,,,,35.1933101,-101.9127663,Potter,48375
"Ambrose, ND",,,,,,,,,,18538,64242,48835,127946,,13432,,48.9977702,-103.4872681,Divide,38023
"Anacortes, WA",,,,,,,91986,,,,3622,,304140,31597,,,48.521744,-122.612822,Skagit,53057
"Anchorage, AK",5120,,3957438,3467457,6572887,60024,11263952,161194,222312,13628,18869226,75294300,1873579562,1241421,21024010,2650857,61.2402778,-149.8861111,Anchorage,2020
"Annapolis, MD",,,,30051,,,120043,62438,,,,,,,,,38.9635969,-76.478751,Anne Arundel,24003
"Antler, ND",,2246755,2437226,,,,,,,,56296,24099,,,,,48.9984673,-101.298785,Bottineau,38009
"Astoria, OR",,,,,,,98871,,,29871,550647,,930499,243582,,,46.1897701,-123.8572519,Clatsop,41007
"Atlanta, GA",4524717,,36744847,17498888,47224376,421635,19463036,2093410,53102196,193195,8563421,11000980,10886019,808221,53058649,1453062,33.639692,-84.3976466,Clayton,13063
"Atlantic City User Fee Airport, NJ",,,,,,,,,,,,,,,462827,,39.4557779,-74.5725117,Atlantic,34001
"Austin, TX",,,6993,13498,,,19683,,,,11509,3396,40188,3015,9451,,30.2021489,-97.666829,Travis,48453
"Avondale, LA",,,,,,,,,,,,,,,13265452,,29.971767,-90.2823726,St. Charles,22089
"Baltimore, MD",,35172248,741666705,28758630,254539833,46370531,823719541,427001055,,2571089,31307655,22435978,74427784,19786436,93873038,14141006,39.2860063,-76.609661,Baltimore,24510
"Baltimore-Washington International Airport, MD",5390,,124675,103958,420049,7000,69495,,27730,,6687,,347301,,401273,,39.1774042,-76.6683922,Anne Arundel,24003
"Bangor, ME",,,,,,,,,,,41799,,13701,85598,48183,30555,44.8069263,-68.823274,Penobscot,23019
"Bar Harbor, ME",,,,,,,,,,,,,,14753,,,44.41361,-68.24611,Hancock,23009
"Baton Rouge, LA",,,12802,,,,10613190,27600,,265962672,72422066,466851196,,,2727710,,30.4346355,-91.2014966,West Baton Rouge,22121
"Battle Creek, MI",,,,,,,,,,,67151,,86896,13878,120713,,42.3393947,-85.2768713,Calhoun,26025
"Baudette, MN",,,,,,,,73838,,,211134,64033,13648194,125304,409060,220793,48.7176199,-94.5942192,Lake of the Woods,27077
"Beaufort-Morehead City, NC",,,965204,,,,,,,,,,,,34595,,34.7171727,-76.6650988,Carteret,37031
"Beaumont, TX",,,,,,,,26585,,295176467,,,,,,,30.0793963,-94.0923294,Jefferson,48245
"Beecher Falls, VT",,,880477,,,,7174,,,,26774,,4274,,6741,,45.012768,-71.5061018,Essex,50009
"Belfast, ME",,,,,,,,,,13091,8629,,,,,,44.418767,-69.023522,Waldo,23027
"Bellingham, WA",,,8716,5072684,4930075,,,,,186849,3597999,3680012,53609517,523884,498400,731875,48.7574951,-122.4953805,Whatcom,53073
"Blaine, WA",609570,26060239,317327397,299163468,525253797,191269956,326945050,21928199,8851499,27082716,1012538734,65768276,657351635,207567661,470778904,252921569,48.994467,-122.759004,Whatcom,53073
"Boise, ID",,,,,,,,,,,,,,,24740,,43.6116897,-116.2878962,Ada,16001
"Boston, MA",,1749740,10283353,18832252,594292820,14417729,179856500,487797106,,113014,1638012,83795338,91244318,2297101,20948231,465541,42.343651,-71.033022,Suffolk,25025
"Boundary, WA",,,,,,,,,,2665,10104,3873,,,7595,,48.998753,-117.6289533,Stevens,53065
"Bridgeport, CT",,,7855,,,,,,,,,,,,,,41.1750046,-73.1856273,Fairfield,9001
"Bridgewater, ME",,200180,546731,,,,9301435,,,289649,1058748,,147826,103323,21273676,,46.4502092,-67.7861707,Aroostook,23003
"Brownsville, TX",445013,,31549345,9539836,15678902,17526,189839423,151189,4451623,10825865,383664267,26627296,11045927,7517831,120169539,15590173,25.9508669,-97.4109459,Cameron,48061
"Brunswick, GA",,23578448,1369235,,2325,,,32933,,2064741,13867270,274674979,538455,6528950,,,31.131813,-81.5368539,Glynn,13127
"Buffalo-Niagara Falls, NY",76755248,91101613,726354465,253875804,423029349,886986120,974321777,127189948,19372657,9682290,1079155274,192998464,363916937,408963254,1212037235,277323424,43.130626,-79.041359,Niagara,36063
"Burlington, VT",,,,,,,,,,,69485,,,,265450,4504,44.474218,-73.221388,Chittenden,50007
"Butte, MT",,,,,,,,,,,,,,,25820,9539,46.0010698,-112.6711893,Silver Bow,30093
"Calais, ME",160446,,43721271,29341727,767749695,2073396,51201075,14699491,300672,54353,54362664,10114957,178729165,2855670,26971886,3684693,45.1613254,-67.2990189,Washington,23029
"Calexico, CA",,,,,,,,,,37809122,24541087,6399046,19510363,2441670,23060690,12261840,32.6651897,-115.496081,Imperial,6025
"Calexico-East, CA",,6017302,357125253,3312540,168263916,191629679,169270621,63219540,12728,30270831,169937558,16590789,90860163,48029586,110861624,24890093,32.6655684,-115.499288,Imperial,6025
"Camden, NJ",,,,,,,28838,,,,2147156,,,87711,396867,,39.9376731,-75.1292216,Camden,34007
"Cape Vincent, NY",,,,,,,,,,,125923,79782,,9934,7211,,44.1289552,-76.3381761,Jefferson,36045
"Carbury, ND",,,1333539,,,,,,,,,5660,,104105,,,48.9976327,-100.5562352,Bottineau,38009
"Champlain-Rouses Point, NY",7686511,15521927,216693518,65397739,403431250,88639720,350224058,40351235,31345107,2545175,455575114,41988453,161140739,55327974,388795387,37663129,45.0009143,-73.3677438,Clinton,36019
"Charleston, SC",,18579721,803461034,117813852,40414873,58260367,232581751,216168713,1092905,3763263,415258000,111012879,340369689,58447425,229971607,424337326,32.7708321,-79.8968733,Charleston,45019
"Charlotte Amalie, VI",,,532681,,329823,199266,796651,15473115,,,,,,,99577,703618,18.3384508,-64.9397081,St. Thomas,78030
"Charlotte, NC",4400,,1223471,3744521,1210229,11962,730624,3616,,,2188221,329706,2952,26283,1502869,23341,35.2717325,-80.9094967,Mecklenburg,37119
"Chester, PA",,,140340540,6711249,3610151,17448380,251447580,21719868,38450090,1217140,979546,668915,39060,441552,35407887,640423,39.8524144,-75.3419458,Delaware,42045
"Chicago, IL",19289876,4592292,77341215,102538208,60236291,50695614,204203502,55829406,167562221,3428933,16185870,87615771,46550406,5734312,135903290,7083446,41.7287385,-87.5334615,Cook,17031
"Christiansted, VI",,,456726,,92654,124641,24382523,2927142,,,,,,,,109521,17.7469291,-64.7075146,St. Croix,78010
"Cincinnati-Lawrenceburg, OH",,3873,1007867,4030825,24611,94490,1035848,16462330,70581203,16400,394454,513957,,25927,2483538,652592,39.099814,-84.511977,Hamilton,39061
"Cleveland, OH",4395,250418,19510713,18967949,127167,133888,11420059,1308112,2409908,24816,31824866,9644438,793893,959008,10221149,3935174,41.5014293,-81.7028655,Cuyahoga,39035
"Columbia, SC",,,650,,,,6500,451279,,,,,,,,,33.944432,-81.1095231,Lexington,45063
"Columbus, NM",9676478,446102,36134242,,,97300,11330,,,,584660,93155,,,,,31.7844155,-107.6276544,Luna,35029
"Columbus, OH",,,156076,7698300,31248,93561,407010,19786,,,33434,8039,2759,,27493,,39.9999399,-82.8871767,Franklin,39049
"Coos Bay, OR",,,,,,,,,,,295136,,,,,46440,43.367748,-124.213429,Coos,41011
"Coral Bay, VI",,,,,,,,,,,11461,4564,26946,4838,19530,9854,18.3320603,-64.7945631,St. John,78020
"Corpus Christi, TX",,,,,,,,,,577278176,247936212,,,,,,27.8039563,-97.3932329,Nueces,48355
"Crockett, CA",,,,,,,278454922,,,,,,,,,,38.0531281,-122.2252095,Contra Costa,6013
"Cruz Bay, VI",,,,,,,,,,,,,,2956,304251,3145669,18.3320603,-64.7945631,St. John,78020
"Dallas Love Field, Dallas, TX",,,,,,,,,5200,,,,,,,,32.8481029,-96.8512063,Dallas,48113
"Dallas-Fort Worth, TX",740791,11385,9817748,27676024,21872756,123412,14915563,370626,2140208,42939,6702613,21157236,3201279,306124,13397895,1033052,32.910676,-97.0094811,Dallas,48113
"Dalton Cache, AK",,,5075,,180486,,,,,,,,4106,,,,59.4503047,-136.3612427,,
"Danville, WA",,,,,,,,,,,24105,,,,,,48.9999383,-118.5035294,Ferry,53019
"Dayton, OH",1852019,,,,,,,,1477300,,,,,,270833,,39.7550722,-84.1854037,Montgomery,39113
"Del Bonita, MT",,76401,22461,,,,,,14598,,3879619,17654,,,3264,,48.9987334,-112.7879394,,
"Del Rio, TX",36216787,,3247537,66964,,,367648,,137489,430903,7224099,3052951,225136,108802,99548,46986,29.3340299,-100.9180082,Val Verde,48465
"Denver, CO",242699,,905134,286308,4099922,8169,3576436,201020,1911088,,2095431,688188,89031,9093,4105960,578015,39.7577895,-104.9861127,Denver,8031
"Derby Line, VT",965387,5220129,53356303,25297001,17985703,15125188,67704588,939101,307485,,3156055,1173078,1183619,591295,3833052,481567,45.0045056,-72.0892837,Orleans,50019
"Des Moines, IA",,,,,,,,,,,37416,,,,22438,,41.5341333,-93.6587958,Polk,19153
"Detour City, MI",,,,,,,,,,,60004,10000,,4564,30990,2897,NoData,NoData,NoData,NoData
"Detroit Metropolitan Airport, MI",4308133,272191,3557291,817316,495996,166970,1469872,59146,27976,34757,126867,34814,19723,19346,1588748,68675,42.2161722,-83.3553842,Wayne,26163
"Detroit, MI",86857278,147510020,789444354,129763579,557382783,993786508,1343874895,340648173,4498282,213627303,1909557149,361951685,1862832114,865898159,1449329356,327323454,42.327535,-83.0412827,Wayne,26163
"Douglas, AZ",65547817,,48514989,,,,313633,17371,306000,17380,96377198,1595164,39159,51545,614373,346363,31.384423,-109.516895,Cochise,4003
"Duluth, MN - Superior, WI",,,,,675360,,,,,157585078,33012069,22894800,,,,,46.7572947,-92.1017691,St. Louis,27137
"Dunseith, ND",106722012,13593193,54582610,2551936,,1417823,1767125,,431436,13852297,22832275,15931201,13954,961487,1054732,116141,48.9983331,-100.0522981,Rolette,38079
"Durham, NC",,,173817,398135,617355,,2254301,116141,,,83768,40312,,,511152,,35.8768885,-78.7926863,Wake,37183
"Eagle Pass, TX",75591482,742407,32085348,15524330,,,186346806,1057730317,20141065,284871487,872095151,327032257,14309153,93042730,503943632,5639178,28.705596,-100.5061141,Maverick,48323
"Eastport, ID",335264087,58691939,32748143,279563305,27895249,41536190,279213064,5413066,2682017,1567370,200880302,6099831,3386431,36811764,86948580,63771169,49.0001318,-116.1815088,Boundary,16021
"Eastport, ME",,,,,3946795,,,,38311248,,13403,70968,40957565,10305,26660,,44.9076241,-66.984036,Washington,23029
"El Paso, TX",,141470,233170661,12192730,3862776,14043677,180318067,260662132,6508465,880023361,439916575,221455369,284084218,63736885,745490958,26559995,31.67214,-106.3353211,El Paso,48141
"El Segundo, CA",,,,,,,51816,,,,,585000,155597,16007,1214464,,33.8965571,-118.3925726,Los Angeles,6037
"Escanaba, MI",,,,,,,,8348,,,21242,,,32754,,,45.7440779,-87.0446359,Delta,26041
"Everett, WA",,,128462,,,,,603944,,10913,,,453770,21729,81043,,48.0007168,-122.2173022,Snohomish,53061
"Fabens, TX",,,,,,,,,,3380765,,,285001,,,,31.4352601,-106.1422299,El Paso,48141
"Fall River, MA",,,28988,,176162,,,453323,,,,,,,14700,,41.7014912,-71.1550451,Bristol,25005
"Fargo, ND",,,,,,,,,3044335,,,57168,,,,,46.9196105,-96.8181729,Cass,38017
"Fernandina, FL",,,,,385880,,,,,41179,3480524,544510,4287104,2530156,9219971,3330740,30.6277138,-81.5560669,Nassau,12089
"Ferry, WA",,,,,,,,,,,51610,,,29591,69999,,48.1594884,-122.672507,Island,53029
"Fort Fairfield, ME",,,130089,,,381813,10091814,,,96695,5695639,789879,135130,3629002,3165167,883926,46.765749,-67.7899427,Aroostook,23003
"Fort Kent, ME",,,28089,,,,,,395955,1249031,213027,,,,,,47.2482649,-68.6028918,Aroostook,23003
"Fort Myers Airport, FL",2850,,,,,2209,2135,4849,,,,,290258,,3160781,13745,26.5337051,-81.7553083,Lee,12071
"Fort Pierce, FL",,,,,469948,,,,,141763,342611,517457,1867607,867592,2741384,241254,27.459089,-80.3263458,St. Lucie,12111
"Fort Worth Alliance Airport, TX",,,,,,,,,,,,7310,,,,,32.9873898,-97.3140628,Tarrant,48439
"Fortuna, ND",,,2036,,,,,,,134669,122482,,,,,,48.9985348,-103.8099643,Divide,38023
"Freeport, TX",,,157945916,,10219000,1456778,3007959,2477,,53784274,59047632,844671,13800911,70188,2849900,924795,28.9384127,-95.3482611,Brazoria,48039
"Friday Harbor, WA",,,,,,,417942,,,,8426,,,,,,48.5364079,-123.0168624,San Juan,53055
"Frontier, WA",,,,,,,,,39945,,647589,20533,,10067,314635,,48.9997086,-117.8316724,Stevens,53065
"Ft. Lauderdale International Airport, FL",,,119227,,3339832,,,6228,2921495,,995411,18138,2499145,8899,163187,33724,26.0742344,-80.1506022,Broward,12011
"Galveston, TX",,,125966908,,,,,,135478466,262476667,428180,,8300,,19440,,29.3065514,-94.7970765,Galveston,48167
"Georgetown, SC",,,1120,,,,,126220,,,,,,,,,33.3608856,-79.2926912,Georgetown,45043
"Gloucester City, NJ",,,,,,,,,,,38074,12600,389115,1116482,1435520,223113,39.8985678,-75.1265227,Camden,34007
"Gramercy, LA",,31227406,,,,,54169047,27003,,2543453044,7404269555,439636089,,5297730,143021289,4186269,30.0476399,-90.6899483,St. James,22093
"Grand Forks, ND",,,,,,,,,,,26236,6260,,,281758,46030,47.942861,-97.176582,Grand Forks,38035
"Grand Portage, MN",,,110263,,424957,,,269761,4001,246831,745288,1206049,6304,927387,455386,,48.0000232,-89.5889274,Cook,27031
"Grand Rapids, MI",,,5808,,,,,,,,,,,,465033,13601,42.8847702,-85.5063677,Kent,26081
"Great Falls, MT",,,8271,330823,,,,,,29420,537786,,431453,63519,305569,39112,47.48219,-111.269984,Cascade,30013
"Green Bay, WI",,,,,,,2971365,,,,16522,,,,,57185173,44.475864,-88.055172,Brown,55009
"Greenville-Spartansburg, SC",,,953,8581,,,,71338,,,,,,,,,34.872685,-82.2286356,Greenville,45045
"Gulfport, MS",,,253043016,441400,1049520,175654,1241423,648965,60480,417780,204147908,3095366,101810470,3571793,23329893,76664,30.368598,-89.093577,Harrison,28047
"Hannah, ND",,35494,,,,,,,,,,,,,,,48.99931,-98.6945381,Cavalier,38019
"Hansboro, ND",,,4598834,,,,,,3198,,138574,,,,,,48.9981385,-99.3484211,Towner,38095
"Harrisburg, PA",,,,,,,,,,,,,,,29358,,40.2640805,-76.8794826,Dauphin,42043
"Hartford, CT",,,2430,,,,,,,,,,3725,,,,41.7480081,-72.6430661,Hartford,9003
"Highgate Springs-Alburg, VT",18641872,28937003,43358185,31370357,5949570,26367926,261427404,18864044,1571586,,8429420,1398549,16894601,28645760,59456709,1472814,45.0128851,-73.0854626,Franklin,50011
"Hildago, TX",39296712,6257015,1826533792,712329,1096006,116854015,327608741,3431514,1275254,25753617,228697263,23036616,285008012,6529008,70238299,18196680,26.0968854,-98.2699052,Hidalgo,48215
"Hilo, HI",,,,,,,,,,,7867,,,,,27814,19.7285403,-155.0540889,Hawaii,15001
"Honolulu International Airport, HI",657020,2687,14249012,878279,13229004,338205,4074662,107993,442757,88067,15288618,1163282,19891352,482323,14520265,1297822,21.3245132,-157.9250736,Honolulu,15003
"Honolulu, HI",,9832228,16150673,2823224,43837903,16231445,32210943,47265034,,101436,6927447,696485,121335,577633,17991508,25134931,21.3013326,-157.8651304,Honolulu,15003
"Houlton, ME",3102349,854867,105336131,3874648,956622201,26873862,187739127,4118516,1935488,100659,69156346,7308511,109661336,8959265,25500587,8654841,46.134631,-67.7825761,Aroostook,23003
"Houston Intercontinental Airport, TX",3931729,19520,5497797,8133648,16442599,132743,11315019,464957,7571951,252960,5042995,4513506,1516766,924476,14734762,438703,29.9902199,-95.3367827,Harris,48201
"Houston, TX",,46942453,714970554,106965169,453519765,79911431,3630754293,1488276164,69358,1111487371,818956999,108902160,787982492,92094453,1032972224,509299654,29.7700369,-95.2945694,Harris,48201
"Huntsville, AL",,,105243,17968,,2092,9174025,2423,,,542785,4701887,15776,15697,2520283,48068,34.6483274,-86.7748408,Madison,1089
"Huron, OH",,,,,,,,,2753,10631,102228,87300,,74508,120473,58674,34.6483274,-86.7748408,Madison,1089
"Indianapolis, IN",,,12379,41014,6653,,358107,,13013666,,41796,565880,,,15924,20809,39.7689961,-86.161358,Marion,18097
"International Falls-Ranier, MN",,309530535,14827078,61117680,249800,102132378,498185293,503462,,7600875,71174647,208215663,206069,8994870,84083632,152465641,48.6055421,-93.4029212,Koochiching,27071
"JFK International Airport, NY",151580947,79304,143042929,128729083,241078009,1481965,172779274,21534334,67233307,148539,62534069,56313826,219173382,3301000,131711170,39157021,40.6413111,-73.7781391,Queens,36081
"Jackman, ME",,3317523,7938169,3519892,1476762,392989,16635798,53712,,,74203,137302,193852,11233,5391678,,45.8054303,-70.3958389,Somerset,23025
"Jacksonville, FL",,319497,240711099,6411573,241955799,5322626,97090605,9760509,49753,6264831,47282712,35611724,146796340,25466431,145441142,66447470,30.356184,-81.625047,Duval,12031
"Jonesport, ME",,,,,,,,,,,,22908,21540,238223,129582,,44.5347969,-67.5930111,Washington,23029
"Juneau, AK",,,,,147158,,,,,,12083,,544311,,,,58.2986111,-134.4055556,Juneau,2110
"Kahului, HI",,,,,,,,,,,133249,,,,10250,,20.894208,-156.4668209,Maui,15009
"Kalama, WA",,,,,,,,,,1508344769,2038065660,23965828,,,,,46.0057055,-122.8460479,Cowlitz,53015
"Kansas City, MO",,,,86263,,3704,885570,3662652,4709,,,,,,15300,,39.1090016,-94.5860261,Jackson,29095
"Kenmore Air Harbor, WA",,,,,,,,,,,,,3282,,,34912,47.628574,-122.33983,King,53033
"Ketchikan, AK",,,,,61300,,,,,,,,2550262,,52571,,55.3516833,-131.6838562,Ketchikan Gateway,2130
"Key West, FL",,,8133,,,,,,,,27974,,25377,12314,13130,357586,24.561146,-81.8012645,Monroe,12087
"Knoxville, TN",,,,,,,,,,,10040,,,,,,35.957303,-83.842681,Knox,47093
"Kona, HI",,,,,76012,,,,,,3506458,,,,3953703,,19.6393742,-155.9969544,Hawaii,15001
"Lake Charles, LA",,,,,,,,,,189232021,9136496,,17300,8415709,3774662,,30.2158233,-93.2497472,Calcasieu,22019
"Lancaster, MN",,,434415,,,,,16554,,,63068,,,,,,48.9981272,-96.8003477,Kittson,27069
"Laredo, TX",26485872,1958000,1316641019,157935714,364044458,515330880,1714109951,779619818,23270457,1083488902,948569107,604957512,2041421775,307930445,2339552204,297711783,27.6798234,-99.455272,Webb,48479
"Las Vegas, NV",16950,,1617000,99671,540261,2846,524340,9439652,,,1635166,19827,122299,10915,1775052,27342,36.1617161,-115.1736045,Clark,32003
"Laurier, WA",,,,,,,,,,,497883,,,,,,48.9993776,-118.2243776,Ferry,53019
"Limestone, ME",,267356,75126,,,,,,,345229,195526,,,,31372,,46.924956,-67.790007,Aroostook,23003
"Little Rock, AR",,,,,,,4548261,8386564,37772,,3781,7339,,,,,34.7176717,-92.1746107,Pulaski,5119
"Logan Airport, MA",469381,,8789190,8544055,64027416,21332,4090231,342361,8111385,,775484,2234822,82993401,12640,4800158,2660,42.3656132,-71.0095602,Suffolk,25025
"Long Beach, CA",,14179054,256640912,63233227,312279193,62155463,265531670,300924403,,112189730,3158322213,1684361511,1035948584,191907093,1365439886,139069150,33.754185,-118.216458,Los Angeles,6037
"Longview, WA",,,15811,6283,,,53203,,,828788525,1049935702,76759838,,,,6829,46.108014,-122.9519764,Cowlitz,53015
"Los Angeles International Airport, CA",38453751,,277355062,38684329,239181267,1108512,77390044,3500315,78260377,260709,463156788,9524490,53328523,3934071,249470728,32074676,33.9415889,-118.40853,Los Angeles,6037
"Los Angeles, CA",508000,190620849,1950012937,580336811,4177936642,466448063,2026630580,1454774519,85860,138166310,4167755954,1890000112,1829355217,134882532,1698089520,151457411,33.7395459,-118.2599686,Los Angeles,6037
"Louisville, KY",,,347666,852947,,8700,471616,123693237,,9197,257855,216967,,,598395,20252,38.1646749,-85.900067,Jefferson,21111
Low Value,,,,,,,,,4253882,5256109,709016557,59679959,45404077,67162084,273226301,54010061,19.0024811,72.8249607,,
"Lukeville, AZ",,,,,30603,,33136,,,,189796,,29328,,,20349,31.8804244,-112.8169016,Pima,4019
"Lynden, WA",,233920,18496477,2508363,,,14400,32481,386590,111637,40458992,328537,2519432,1739919,6756787,1028445,49.0016738,-122.4858105,Whatcom,53073
"Mackinac Island, MI",,,,,,,,,,,4360,,,,15222,,45.8509907,-84.614452,Mackinac,26097
"Madawaska, ME",,,11200,,,,,,,109950,57960,103118,,,291110,19765,47.3572088,-68.328592,Aroostook,23003
"Maida, ND",,167291,2017960,1027462,,,,,,,251292,20769,,,,,48.9985126,-98.3658475,Cavalier,38019
